Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,13.740000,16.830000,12.610000,16.600000,15.715981,4706
2019-02-01,16.600000,16.600000,14.380000,14.700000,13.917163,5185
2019-03-01,14.700000,18.160000,14.700000,18.160000,17.192905,109
2019-04-01,18.160000,18.160000,15.660000,17.250000,16.486200,4968
2019-05-01,17.250000,17.250000,15.720000,15.720000,15.023947,2295
2019-06-01,18.629999,18.629999,15.040000,15.430000,14.746786,6491
2019-07-01,15.430000,17.080000,15.430000,16.860001,16.113468,490
2019-08-01,16.860001,20.309999,16.860001,20.309999,19.410709,1523
2019-09-01,20.309999,20.309999,19.780001,19.780001,18.904179,300
2019-10-01,19.780001,23.160000,19.780001,23.160000,22.186022,100
2019-11-01,23.160000,23.160000,22.690001,22.690001,21.735790,100
2019-12-01,22.690001,26.280001,22.690001,24.490000,23.460093,1108
2020-01-01,24.490000,25.520000,24.490000,24.840000,23.795372,1037
2020-02-01,24.840000,25.650000,20.320000,20.320000,19.465458,3611
2020-03-01,21.660000,24.650000,18.540001,24.650000,23.613363,3526
2020-04-01,24.650000,24.650000,21.700001,22.080000,21.342260,2602
2020-05-01,22.080000,22.080000,21.889999,21.889999,21.158607,1587
2020-06-01,21.889999,26.290001,21.889999,26.290001,25.411596,2054
2020-07-01,26.290001,26.290001,25.799999,25.799999,24.937967,6452
2020-08-01,25.799999,32.580002,25.799999,30.139999,29.132957,3333
2020-09-01,30.139999,30.139999,30.139999,30.139999,29.132957,0
2020-10-01,30.139999,31.834999,30.139999,31.834999,30.820412,100
2020-11-01,31.834999,31.834999,26.110001,30.030001,29.072939,341
2020-12-01,30.030001,31.000000,30.030001,31.000000,30.012022,109
