Date,Open,High,Low,Close,Adj Close,Volume
1996-12-01,8.750000,9.750000,8.500000,9.125000,8.670166,1817500
1997-01-01,9.125000,9.250000,7.500000,8.000000,7.601243,1377200
1997-02-01,8.500000,9.000000,7.750000,8.875000,8.432627,927700
1997-03-01,8.546875,9.375000,8.375000,8.750000,8.313859,962000
1997-04-01,9.000000,9.375000,8.625000,8.937500,8.492013,1487900
1997-05-01,8.875000,9.875000,8.875000,9.625000,9.145244,1261900
1997-06-01,9.500000,11.125000,9.375000,10.250000,9.739093,1431100
1997-07-01,10.375000,12.875000,8.125000,12.125000,11.520632,1075600
1997-08-01,12.125000,12.250000,10.000000,10.125000,9.620322,713700
1997-09-01,10.750000,12.250000,10.125000,11.375000,10.808015,671100
1997-10-01,12.250000,13.000000,10.250000,10.500000,9.976629,1188900
1997-11-01,10.546875,12.875000,10.375000,12.875000,12.233248,2909800
1997-12-01,12.375000,13.500000,11.125000,12.250000,11.639400,749000
1998-01-01,12.500000,13.375000,9.718750,13.000000,12.352020,739300
1998-02-01,13.000000,13.500000,10.875000,11.375000,10.808015,1416800
1998-03-01,11.750000,12.000000,9.500000,10.625000,10.095399,1266500
1998-04-01,11.125000,11.875000,9.875000,11.625000,11.045555,412100
1998-05-01,11.375000,12.250000,10.500000,11.500000,10.926785,103200
1998-06-01,11.750000,14.375000,11.250000,11.500000,10.926785,986600
1998-07-01,11.750000,13.000000,10.875000,11.750000,11.164325,1463800
1998-08-01,12.125000,12.375000,11.000000,11.625000,11.045555,735400
1998-09-01,11.375000,12.500000,10.500000,12.000000,11.401864,1424000
1998-10-01,11.500000,11.875000,9.250000,10.375000,9.857862,504300
1998-11-01,10.500000,12.750000,10.375000,11.500000,10.926785,548200
1998-12-01,12.125000,12.375000,10.875000,11.750000,11.164325,620400
1999-01-01,11.750000,12.125000,10.375000,11.625000,11.045555,1082800
1999-02-01,11.500000,12.125000,10.250000,10.625000,10.095399,708900
1999-03-01,10.125000,11.125000,9.125000,10.625000,10.095399,1426200
1999-04-01,11.375000,12.625000,10.500000,11.875000,11.283092,1068000
1999-05-01,11.750000,15.750000,11.250000,14.625000,13.896021,1150000
1999-06-01,15.500000,18.125000,14.375000,17.500000,16.627718,919300
1999-07-01,18.250000,19.625000,16.375000,18.125000,17.221565,736800
1999-08-01,18.625000,22.000000,16.500000,21.375000,20.309566,962300
1999-09-01,21.562500,23.000000,18.750000,19.375000,18.409258,1391900
1999-10-01,20.000000,20.750000,18.125000,20.125000,19.121878,736400
1999-11-01,19.187500,22.875000,18.875000,20.375000,19.359411,840900
1999-12-01,20.500000,21.500000,18.625000,20.625000,19.596951,875900
2000-01-01,21.000000,23.656250,18.375000,22.250000,21.140953,1122700
2000-02-01,22.375000,28.750000,21.500000,27.000000,25.654192,2444000
2000-03-01,27.750000,28.500000,18.500000,22.000000,20.903416,1270800
2000-04-01,20.125000,23.500000,16.500000,20.750000,19.715723,1714700
2000-05-01,21.250000,22.750000,17.750000,18.875000,17.934181,2521000
2000-06-01,17.875000,23.250000,17.250000,22.000000,20.903416,526700
2000-07-01,21.375000,23.375000,18.500000,20.875000,19.834492,3525900
2000-08-01,20.500000,24.000000,19.000000,21.750000,20.665876,697700
2000-09-01,22.000000,23.750000,19.750000,22.875000,21.734804,590200
2000-10-01,23.500000,23.500000,19.500000,20.875000,19.834492,504400
2000-11-01,20.000000,23.125000,16.500000,18.375000,17.459101,678400
2000-12-01,18.625000,20.625000,17.500000,19.000000,18.052950,578700
2001-01-01,19.500000,21.500000,17.000000,20.625000,19.596951,621000
2001-02-01,20.750000,21.937500,19.625000,20.703125,19.671183,508700
2001-03-01,20.203125,22.500000,18.625000,20.750000,19.715723,859800
2001-04-01,20.375000,22.375000,18.900000,20.049999,19.050610,952700
2001-05-01,20.900000,24.750000,19.850000,24.200001,22.993759,1281100
2001-06-01,23.629999,25.200001,19.500000,23.500000,22.328650,1394600
2001-07-01,23.250000,24.700001,21.500000,21.700001,20.618370,825000
2001-08-01,21.600000,22.750000,18.750000,19.500000,18.528027,889800
2001-09-01,19.750000,20.299999,13.000000,17.650000,16.770237,7971900
2001-10-01,17.750000,20.750000,17.250000,19.100000,18.217522,320000
2001-11-01,19.299999,22.900000,19.100000,21.600000,20.602015,1493300
2001-12-01,21.500000,23.750000,20.250000,21.500000,20.506636,332700
2002-01-01,21.500000,22.350000,15.860000,18.240000,17.397255,1649000
2002-02-01,16.750000,19.400000,16.600000,18.299999,17.454483,620500
2002-03-01,18.299999,25.150000,18.000000,18.200001,17.359106,1573100
2002-04-01,17.900000,19.750000,16.650000,17.350000,16.596931,550100
2002-05-01,17.500000,18.850000,17.000000,17.250000,16.501274,702000
2002-06-01,17.500000,18.700001,15.900000,18.650000,17.840502,735800
2002-07-01,18.200001,18.450001,14.500000,15.500000,14.827231,485400
2002-08-01,15.500000,16.250000,13.500000,14.750000,14.109784,319400
2002-09-01,14.900000,16.000000,14.000000,14.750000,14.109784,1670000
2002-10-01,13.750000,14.000000,10.410000,12.100000,11.643002,1044800
2002-11-01,12.450000,13.500000,10.800000,13.000000,12.509008,1395100
