Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,5.420000,5.920000,4.200000,5.720000,5.720000,217100
2016-03-01,6.100000,6.300000,5.720000,6.180000,6.180000,235600
2016-04-01,6.110000,6.260000,5.710000,5.730000,5.730000,40300
2016-05-01,5.980000,7.400000,5.960000,7.360000,7.360000,104100
2016-06-01,7.360000,7.620000,6.680000,7.260000,7.260000,130000
2016-07-01,7.510000,8.370000,7.240000,8.150000,8.150000,57000
2016-08-01,8.150000,8.300000,7.720000,7.750000,7.750000,36300
2016-09-01,7.900000,8.300000,7.410000,7.520000,7.520000,59000
2016-10-01,7.700000,7.700000,6.650000,6.740000,6.740000,49100
2016-11-01,6.740000,7.010000,6.430000,6.920000,6.920000,286500
2016-12-01,6.820000,7.170000,6.550000,7.040000,7.040000,104200
